Tipo;Plan estabilidad lechero?;Fecha ingreso trámite;Fracciones Artº5;Tipo de negocio;Tipo de negocio;;Nº expediente;Estado de ocupación;Moneda;Precio total;Superficie total(ha);Superficie CONEAT 100 (ha);Mejoras que incluye;Forma de entrega;Forma y plazo pago;Multa por incumplimiento;Padrones
Por Art. 35º;NO;10/06/2025;;Compraventa;Compraventa;;2025-70-1-00864;Libre;U$S;1540440;275,0786;241,6325;La enajenación comprende suelos y mejoras;La ocupación de los padrones descriptos conforme al boleto de reserva suscrito se entregará simultáneamente con la firma de la escritura de compraventa, libre de ocupantes.;El precio se abonará simultáneamente a los 150 días de la firma del boleto de reserva;10% del precio;Canelones-> Rural: 38203-5676-5669-9183-5672
Por Art. 35º;NO;10/06/2025;;Paga por entrega de bienes o dación en pago;Paga por entrega de bienes o dación en pago;;2025-70-1-00866;Libre;U$S;3988768;362,6153;525,7921;La dación de pago comprende la totalidad de las mejoras existentes en los bienes, sus suelos e instalaciones así como los alambrados de ley;El bien referido deberá entregarse como máximo el 28 de julio de 2025, libre de ocupantes a cualquier título.;Se pacta como plazo máximo para dicha operación el 28/07/25;U$S 500000;Soriano-> Rural: 265
Por Art. 35º;NO;09/06/2025;;Donación;Donación;;2025-70-1-00857;Libre;U$S;2000000;417,4257;421,5999;La operación comprende mejoras;Simultánea a la propiedad y posesión de los inmuebles en un máximo de 60 días a contar del 25/05/25;No se estipula;No se estipula;San José-> Rural: 17693
Por Art. 35º;NO;06/06/2025;;Compraventa;Compraventa;;2025-70-1-00849;Ocupado;U$S;2534535;755,5432;974,8209;Los bienes se enajenan con las mejoras que contienen.;La entrega definitiva se hará en el momento de otorgarse la escritura de compraventa definitiva, en un plazo máximo de 120 días a contar desde el otorgamiento del boleto de reserva. Todos los padrones arrendados hasta el 30/06/25;Al contado, al momento de firmarse la escritura de las compraventas definitivas;U$S 253.454;Rocha-> Rural: 65044-65043-65042-63266-63265-63264
Por Art. 35º;NO;04/06/2025;;Compraventa;Compraventa;;2025-70-1-00836;Ocupado;U$S;3000000;588,9579;730,4378;Comprende todas las mejoas y accesiones dominiales que corresponden a todos los padrones.;Simultáneamente al otorgamiento de la escritura de compraventa definitiva, libre de ocupantes.;En un solo acto contra la firma de la compraventa definitiva y entrega de la posesión de los inmuebles y en las condiciones que se establecerán en el contrato.;U$S 600000;Durazno-> Rural: 2912-9903-9519-2926-517-9902-3394
Por Art. 5º;NO;03/06/2025;Colonia Paysandú inm 2 Fr 32;Compraventa;;;2024-70-1-00300;Libre;U$S;240000;33,164;49,4143;Servicio de UTE, Dos pozos de agua con bomba, tajamar, vivienda, galpón con churrasquera, gallinero, corral con tubo;Se entregará con la escritura, libre;Contado con la escritura;U$S 24.000;Paysandú-> Rural: 2636
Por Art. 35º;NO;02/06/2025;;Compraventa;Compraventa;;2025-70-1-00813;Libre;U$S;1410000;195,7326;229,7372;La operación comprende suelos y mejoras;El plazo se estipuló dentro de los siguientes 60 días a contar del 20 de mayo de 2025, oportunidad en la cual se entregará la posesión de los inmuebles, libre de ocupantes y en su actual estado de conservación.;Será abonado simultáneamente con el otorgamiento de la compraventa proyectada en una sola partida;U$S 141000;Colonia-> Rural: 17434-22645
Por Art. 35º;NO;02/06/2025;;Compraventa;Compraventa;;2025-70-1-00810;Ocupado;U$S;2278331;421,9132;427,8856;La operación comprende suelos y mejoras;El bien se entregará simultáneamente con la firma de la compraventa dentro del plazo pactado, libre de ocupantes;Al contado;U$S 227833;Florida-> Rural: 8351-953-935
Por Art. 35º;NO;02/06/2025;;Compraventa;Compraventa;;2025-70-1-00814;Ocupado;U$S;5480200;1034,5348;1359,4302;No se estipula;La posesión del bien se entregará conjuntamente con la firma de la compraventa proyectada, libre de ocupantes a cualquier título;Al contado, simultáneamente con el otorgamiento de la escritura de compraventa y cesión de derechos posesorios proyectadas mediante 6 letras de cambio.;U$S 548020;Cerro Largo-> Rural: 12603-12319-1354-10204-7315-1422-13230-8297
Por Art. 5º;NO;30/05/2025;Colonia La Concordia, Fracción 56, inmueble 22;Compraventa;Compraventa;;2025-70-1-00809;Ocupado;U$S;800000;83,5352;91,8887;Comprende suelos y mejoras;Conjuntamente a la firma de la compraventa;Al momento de la firma de la compraventa;U$S 100.000;Soriano-> Rural: 5065
Por Art. 5º;NO;27/05/2025;7ma secc. cat. del dpto. de Florida. Colonia Dr. Alberto Gallinal. Fracc. 70D Inm. 94;Compraventa;;;2025-70-1-00781;Ocupado;U$S;25000;0,06;0,054;La operación comprende suelos y mejoras;El bien se entregará libre de ocupantes y cosas, simultáneamente con el otorgamiento de la escritura de compraventa.;Al contado y en una sola partida.;U$S 2500;Florida-> Rural: 7578
Por Art. 5º;NO;27/05/2025;COLONIA ITALIA. FRACC. 94B, 94C Y 94E. INM. 19;Compraventa;Compraventa;;2025-70-1-00785;Libre;U$S;430000;42,7496;93,1617;Comprende suelos y mejoras;Libre de todo ocupante y/o cosas;Al momento de la firma de la escritura de compraventa;U$S 43.000;San José-> Rural: 4990-10348-4991
Por Art. 35º;NO;26/05/2025;;Compraventa;Compraventa;;2024-70-1-01497;Parcialmente ocupado;U$S;24100000;5802,6678;6249,7222;Suelos y mejoras;conjuntamente con el otorgamiento de la escritura de promesa de compraventa dentro del plazo de 45 días a partir del 28/8/24Libre de ocupantes a excepción de algunos padrones arrendados (superficie total arrendada de 2147 ha) plazos máximos de los contratos : 31/12/46,  31/12/43, 31/12/48, 31/12/44);en 2 partidas:- una por U$S16.100.000 pagaderos al momento de otorgar la promesa de compraventa contra la entrega de la ocupación de los inmuebles-la segunda por U$S 8.000.000 al otorgarse la compraventa definitivaAmbos pagos mediante endoso y entrega de una o mas letras de cambio;U$S 2.410.000;Durazno-> Rural: 1049-12540-1207-5053-998-10047-9425-4486-961-9674-3326-931-8716-1248-1208-6268-1046-10616-9426-4578-997-10046-4462-959-9111-3204-943-7115
Por Art. 35º;NO;23/05/2025;;Compraventa;Compraventa;;2025-70-1-00771;Ocupado;U$S;1069547;222,8222;213,9093;No comprende mejoras;El inmueble se entregará al comprador conjuntamente con el otorgamiento de la compraventa, en su actual estado de convervación. El inmueble se encuentra arrendado a Orivel Gervassini, con contrato vencido, todo lo cual declara el comprador conocer y aceptar, con contrato vencido, siendo actualemente el arrendamiento de $53931.;Se integrará simultánemante con el otorgamiento de la compraventa y entrega de la posesión del inmueble.Las partes acuerdan que otorgarán la Compraventa, dentro del plazo que vence el 15 de junio de 2025, siempre y cuando en dicho plazo el Escribano designado por el comprador haya podido obtener la correspondiente información registral y municipal, y tenga e su poder la totalidad de la ;U$S 106954;Florida-> Rural: 13953
Por Art. 35º;NO;20/05/2025;;Compraventa;;;2025-70-1-00726;Libre;U$S;6300000;1176,7241;1223,7931;Comprende suelos y mejoras;Libre de ocupantes a cualquier titulo, simultáneamente con el otorgamiento de la compraventa definitiva;Al contado simultáneamente al otorgamiento de la escritura de compraventa.;U$S 630000;Río Negro-> Rural: 4912
Por Art. 35º;NO;19/05/2025;;Compraventa;Compraventa;;2025-70-1-00675;Libre;U$S;6817050;1662,6953;1209,0113;Comprende suelos y mejoras;Libre de ocupantes a cualquier titulo ; Contado y dentro de un plazo de 120 días a contar desde el día 4 de abril de 2025.;U$S 681.705;Lavalleja-> Rural: 11093-18969-18968-18967-20229-16471
Por Art. 35º;NO;19/05/2025;;Compraventa;Compraventa;;2025-70-1-00718;Libre;U$S;6817052;1662,6953;1209,0113;Comprende suelos y mejoras;Libre de ocupantes a cualquier titulo;Contado y dentro de un plazo de 120 días a contar desde el día 4 de abril de 2025.;U$S 681705;Lavalleja-> Rural: 18967-20229-16471-11093-18969-18968
Por Art. 35º;NO;15/05/2025;;Donación;Donación;;2024-70-1-00583;Ocupado;U$S;7100581;1746,7605;1743,7251;Suelos y mejoras;Ocupado;Donación;No se pactó;Soriano-> Rural: 6431-13154-13152-12614-13155-13153
Por Art. 35º;NO;15/05/2025;;Compraventa;Compraventa;;2025-70-1-00684;Libre;U$S;2860153;708,0569;530,98;La operación comprende suelos y mejoras;Por los padrones 14500, 14503 y 14504 la compraventa se otorgará como máximo el 30/06/25, conjuntamente con la entrega del bien, libre de ocupantes.Por el resto de los padrones la compraventa se otrogará simultáneamente con el otorgamiento de la escritura de compraventa, antes del 30/06/25, libre de ocupantes.;Por los padrones 14500, 14503 y 14504 la parte futura se obliga a pagar en una única partida mediante transferencia bancaria o letra de cambio, el día del otorgamiento de la escritura de compraventa.Por el resto de los padrones, la parte futura compradora se obliga a abonar antes del 30/06/25., Simultáneamente con el otorgamietno de la escritura definitiva de compraventa.;Por los padrones 14500, 14503 y 14504 la multa es de U$S 41733Por el resto de los padrones es de U$S 244281;Cerro Largo-> Rural: 10301-13640-14892-14504-2007-12928-14503-15395-12516-14500-5624-15396-11679-13641-14893
Por Art. 5º;NO;13/05/2025;fraccion 102D, inmueble 19, colonia Italia;Compraventa;Compraventa;;2025-70-1-00675;Ocupado;U$S;62420;6,9356;15,6745;Comprende suelos y mejoras;Libre de ocupantes a cualquier titulo en forma simultánea a la suscripción de la escritura de compraventa, estableciéndose un plazo máximo de 60 días a contar desde el 05/05/25 ya que actualmente esta ocupado por los propietarios ;Al contado en forma simultánea a la escrituración y entrega del bien;U$S 12.500;San José-> Rural: 15305
Por Art. 5º;NO;13/05/2025;Fraccion 102E, inmueble 19, colonia Italia;Compraventa;Compraventa;;2025-70-1-00677;Libre;U$S;40950;4,55;11,0565;Comprende suelos y mejoras;Libre de ocupantes a cualquier titulo en forma simultánea a la suscripción de la escritura de compraventa;Al contado en forma simultánea a la escrituración y entrega del bien;U$S 12.500;San José-> Rural: 15306
Por Art. 35º;NO;08/05/2025;;Compraventa;Compraventa;;2025-70-1-00647;Libre;U$S;1246690;389,5907;225,9626;La operación comprende suelos y mejoras;Los bienes se entregaran libre de ocupantes y cosas, simultáneamente con el otorgamiento de la escritura de compraventa;Al contado y en una sola partida.;U$S 125000;Florida-> Rural: 4395
Por Art. 35º;NO;08/05/2025;;Compraventa;Compraventa;;2025-70-1-00644;Libre;U$S;3295343;732,2984;678,4315;La operación comprende suelos y mejoras;Se entregará libre de ocupantes a cualquier título simultánamente con la firma de la compraventa.;Al contado de forma simultánea al otorgamiento de la compraventa;U$S 659068;Florida-> Rural: 18845-18844
Por Art. 35º;NO;06/05/2025;;Compraventa;Compraventa;;2025-70-1-00617;Ocupado;U$S;2028854;390,1643;483,8037;La operación comprende suelos y mejoras;Al momento de la firma de la compraventa. El que ocupa el bien es el comprador en calidad de ocupante precario y por tiempo indefinido.;a) U$S 14078 que  ya fueron abonados por la parte compradora en concepto de deuda de impuesto a primaria del inmuebles.b) U$S 19374 que  ya fueron abonados por la parte compradora en concepto de deuda de contribución inmobiliaria del inmueble relacionado que debían la parte vendedora, habiendo integrado antes de este acto a la parte vendedora.c) U$S 5227 que Juan Miller deberá abono en concepto de deuda contribución ;U$S 200000;Paysandú-> Rural: 8021
Por Art. 35º;NO;28/04/2025;;Compraventa;Compraventa;;2025-70-1-00563;Libre;U$S;2329595;194,133;275,6688;Comprende suelos y mejoras;Libre de ocupantes al momento de suscribirse la escritura de compraventa;Precio total se abona de forma simultanea con la firma de la escritura de compraventa dentro del plazo de 4 meses contados a partir del 18/03/25;U$S 232.800;Colonia-> Rural: 558
Por Art. 35º;NO;25/04/2025;;Compraventa;Compraventa;;2025-70-1-00568;Ocupado;U$S;1438284;646,42;643,1879;La operación comprende suelos y mejoras;La entrega de los bienes se hará efectiva conjuntamente con el otorgamiento de la compraventa  (dentro de los 90 días a contar del boleto). Ambos bienes se encuentran arrendados a favor de “El Amanecer Sociedad Ganadera” desde el 03/08/20 por un plazo de 3 años con opción a 1 año más. Actualmente sigue siendo ocupado con contrato vencido. La renta se encuentra al día hasta el 31/07/25.;Se abonará al 100% al momento del otorgamiento de la compraventa dentro del plazo de 90 días a contar del otorgamiento del boleto de reserva (12/04/2025);U$S 143.828;Artigas-> Rural: 2456-3954
Por Art. 5º;NO;25/04/2025;6TA SECC. CAT. DEL DPTO DE SAN JOSÉ. COL. ITALIA. INM. 19. FRACC. 60, 61B, 61D, 61C, 62B Y 62C. ;Compraventa;Compraventa;;2025-70-1-00570;Ocupado;U$S;143104;43,3647;85,4363;La operación comprende suelos y mejoras;No se suscribe boleto de reserva;Al momento de suscribir la escritura de compraventa, en el plazo de 60 días, al contado.;No se estipula;San José-> Rural: 15301-10290-10289-4954-13118-10848
Por Art. 5º;NO;24/04/2025;'COL. DR. A. GALLINAL; INM. 94; FRACC. 94A';Compraventa;Compraventa;;2025-70-1-00554;Libre;U$S;22500;7,3373;7,9242;La operación comprende suelos y mejoras;El bien se entregará el 26/04/25 y se hará libre de ocupantes.;Se integrará al contado y en una sola partida en el plazo de 30 días de acuerdo al boleto de reserva otorgado el pasado 26/03/25.;U$S 3000;Florida-> Rural: 9006
Por Art. 35º;NO;24/04/2025;;Compraventa;Compraventa;;2025-70-1-00560;Libre;U$S;12511674;3475,4649;3486,1737;La operación comprende suelos y mejoras;La entrega de los inmuebles se hará simultáneamente a la firma de la compraventa y libre de ocupantes a cualquier título y animales.;En una sola partida, simultáneamente y contra la escritura de compraventa dentro del plazo de 120 días a partir del 1 de abril de 2025.;U$S 1.251.167;Paysandú-> Rural: 2107-10444-823-10442-818-1796-2111-7965-2108-10445-2106-10443-819-2808-10441-1452-2110-7964
Por Art. 35º;NO;22/04/2025;;Compraventa;Compraventa;;2025-70-1-00544;Libre;U$S;9367374;1536,271;938,099;No se estipula.;Libre de ocupantes y cosas el 04/05/25;Al contado en una sola partida y simultáneamente con la compraventa.;U$S 936.737;Rocha-> Rural: 4664-3535-4427-3599-39542-3594-6180-3552-4547-3533-3846-3597-32239-3590
Por Art. 35º;NO;11/04/2025;;Compraventa;Compraventa;;2025-70-1-00534;Ocupado;U$S;32500000;4404,3043;5737,24;Quedaran comprendidas en la enajenación todas las instalaciones fijas, casco, galpones, alambrados, porteras y demás mejoras existentes en el inmueble.;La transferencia de la propiedad y posesión del inmueble se verificará con el otorgamiento de la escritura de compraventa.Las partes establecieron que Rafelor S.A podrá permanecer, en carácter de ocupante precario, hasta el 31 de enero de 2026, en la casa habitación principal y oficinas del inmueble, a su entero costo y responsabilidad, pudiendo retirar la totalidad de los muebles y enseres que allí se encuentren.;El precio se abonará al contado y en una sola partida conjuntamente con el otorgamiento de la escritura de compraventa y entrega de posesión de los bienes.;U$S 3250000;Florida-> Rural: 20041-8940-7264-13514-641-5743-598-597-7201-20042-10174-9065-11093-642-13513-7897-7138-20043-10813-6668
Por Art. 35º;NO;10/04/2025;;Compraventa;Compraventa;;2025-70-1-00528;Parcialmente ocupado;U$S;1500000;195,2102;291,0465;Comprende suelos y mejoras;Conjuntamente con el otorgamiento de la escritura de compraventa en las siguientes condiciones:- 184 ha dadas en comodato (celebrado el 1/1/23 y con plazo de 3 años con Hortifruticola de Kiyu)- Arrendamiento por un plazo de 25 años con Parque Eolico Kiyu S.A., Natalia Sasson, Jonathan Sasson y Enrique Mitelman (superficie surge de croquis ;El precio se abonará en su totalidad al momento de otorgarse la compraventa mediante la entrega de letra de cambio o transferencia bancaria.;No se estipuló;San José-> Rural: 13332-5834-11512
Por Art. 35º;NO;09/04/2025;;Compraventa;Compraventa;;2024-70-1-01767;Parcialmente ocupado;U$S;23000000;6162,1284;3928,39;La operación comprende suelos y mejoras.;Las fracciones no arrendadas se entregarán, conjuntamente con el pago del precio el 31/01/25. Las restantes se entregarán con la celebración de la compraventa definitiva. o antes, si se liberara a las mismas de los arrendamientos.;a) U$S 6.000.000 al momento de la promesa de compraventa.b) U$S 1.666.666 el 31/01/25.c) U$S 7.666.666 el 31/08/25.d) U$S 7.666.668 el 31/12/25, simultáneamente al otorgamiento de la compraventa definitiva.;U$S 2.300.000;Treinta y Tres-> Rural: 6772-7734-1814-7722-6833-6773-6834-4858-7727-7111-6832
Por Art. 35º;NO;08/04/2025;;Compraventa;Compraventa;;2025-70-1-00514;Libre;U$S;1871658;359,9278;360,5003;La oepración comprende suelos y mejoras anexas;Se entregará el 30/04/25, simultáneamente con la firma del compromiso de compraventa, libre de ocupantes a cualquier título.;Se abonará el 50% del precio simultáneamente con el compromiso de compraventa con vencimiento el 30/04/25. Si a dicha fecha existe declaratoria de los herederos, y resultan ser los únicos comparecientes, se abonará el 60% del precio. El saldo se abonará conjuntamente con la escritura de compraventa dentro del plazo de 20 días de que se encuentre inscripto el certificado de resultancias de autos.;10% del precio;Canelones-> Rural: 5567-51922-10783-5668-5568-56318-5566-17616-5684-5570 Lavalleja-> Rural: 12807-6669-3662-15159-8684-4280
Por Art. 5º;NO;04/04/2025;4TA SECC. CAT. DEL DPTO. DE SORIANO. COL. AGRACIADA. INM. 9P. FRACC. 46A1;Compraventa;Compraventa;;2025-70-1-00487;Libre;U$S;130000;5,677;9,8212;La operación comprende suelos y mejoras;El bien se entregará en el momento del otorgamiento de la escritura de compraventa, libre de ocupantes.;Se pagará mediante transferencia bancaria en una sola oportunidad, al momento del otorgamiento de la escritura de compraventa.;U$S 30000;Soriano-> Rural: 12983
Por Art. 5º;NO;04/04/2025;'4TA SECC. CAT. DEL DPTO DE SORIANO. COL. AGRACIADA; INM. 9; FRACC. 9.';Compraventa;;;2025-70-1-00488;Libre;U$S;380000;32,5599;17,5822;'La compraventa acordada comprenderá la totalidad de los suelos y mejoras existentes; no se incluyen semovientes, útiles, herramientas ni otros bienes.';Los campos se entregarán al comprador libres de ocupantes, simultáneamente con el otorgamiento de la escritura de compraventa y el pago del precio, una vez que se haya cosechado la soja actualmente plantada.;Se pagará al contado, en una sola partida, simultáneamente con el otorgamiento de la escritura de la compraventa.;U$S 38000;Soriano-> Rural: 4831-4832
Por Art. 5º;NO;04/04/2025;4TA SECC. CAT. DEL DPTO. DE SORIANO. COL. AGRACIADA. INM. 9P. FRACC. 46A1;Compraventa;Compraventa;;2025-70-1-00486;Libre;U$S;187000;17,03;29,4619;La operación comprende suelos y mejoras;El bien se entregará en el momento del otorgamiento de la escritura de compraventa, libre de ocupantes.;Se pagará mediante transferencia bancaria en una sola oportunidad, al momento del otorgamiento de la escritura de compraventa.;U$S 40.000;Soriano-> Rural: 12982
Por Art. 35º;NO;04/04/2025;;Compraventa;Compraventa;;2025-70-1-00484;Libre;U$S;2392578;119,6289;213,6536;La operación comprende suelos y mejoras anexas.;La entrega del bien se llevará a cabo como se estableció precedentemente, el día 30 de junio de 2025, en el actual estado material del bien, y libre de ocupantes, semovientes, maquinaria, útiles y enceres y pertenencias personales de cualquier tipo.;1) U$S 326000 con la firma de la promesa de compraventa (esto será a los 30 días contados de la firma del Contrato Preliminar).2) U$S 1055728 el 30 de junio de 2025 con la entrega de la posesión de los bienes.3) U$S 1010850 el 30 de junio de 2026 contra la escritura de compraventa.;U$S 239.257;Soriano-> Rural: 3381-10449
Por Art. 35º;NO;04/04/2025;;Compraventa;Compraventa;;2025-70-1-00493;Parcialmente ocupado;U$S;6725308;1790,93;1235,2799;La compraventa futura comprende suelos y mejoras.;La entrega se realizará contra la escritura de compraventa libre de ocupantes a excepción del padrón 70304 que se encuentra arrendado por Washington Gomez hasta el 30/06/25.;Se abonará dentro del plazo máximo de 6 meses a contar desde el17/10/24, simultáneamente con el otorgamiento de la escritura de compraventa.;U$S 752.000;Rocha-> Rural: 70304-70303
Directo;NO;01/04/2025;;Compraventa;Compraventa;;2024-70-1-00885;Ocupado;U$S;347600;158;33;No tiene - solo alambrados perimetrales;;Destaca en nota la preferencia para el pago por transferencia bancaria ( que por inclusion financiera corresponde) y manifiesta tambien letra de cambio con un plazo de 6 meses.;;Tacuarembó-> Rural: 15336
Directo;NO;01/04/2025;;Compraventa;Compraventa;;2024-70-1-00885;Ocupado;U$S;347600;158;52;No tiene.- solo Alambrados;;Manifiesta preferencia para el pago por transferencia bancaria o por letra de cambio con un plazo de 6 meses.-;;Tacuarembó-> Rural: 15336
Por Art. 35º;NO;28/03/2025;;Compraventa;Compraventa;;2025-70-1-00443;Libre;U$S;4672000;1854,1903;1255,1082;La operación comprende suelos y mejoras;Libre de ocupantes;'1) U$S 2000000 a la firma de la compraventa2) El saldo de U$S 2672000 de acuerdo a lo siguiente:a) U$S 1820000 en el plazo máximo de diez días desde la firma de la compraventab) U$S 852000 en el plazo de un año a contar de la compraventa; dicho saldo no generará intereses compensatorios ';U$S 700.800;Paysandú-> Rural: 9324-685-5827-9321
Por Art. 35º;NO;28/03/2025;;Compraventa;Compraventa;;2025-70-1-00446;Libre;U$S;850000;88,4297;109,0308;La operación comprende suelos y mejoras;Conjuntamente con el otorgamiento de la escritura de compraventa o compraventa definitiva, libre de todo tipo de ocupantes a cualquier titulo, gravámenes, embargos y en el actual estado de conservación con la totalidad de tributos nacionales y municipales que graven al bien pagos.;Opción 1) a) U$S 400000 al momento de la firma del compromiso de compraventa y entrega de posesión de los bienes.    b) U$S 450000 en 5 cuotas iguales, anuales y consecutivas de U$S 90000, ganando un interés compensatorio del 5% sobre el saldo del precio, a medida que se amorticen las cuotas, que deberá ser abonados conjuntamente con cada cuota de capital. ;No se estipula;Canelones-> Rural: 8564-8013-1877-1874-13494-1869-1875-1871-43985
Por Art. 35º;NO;26/03/2025;;Compraventa;Compraventa;;2025-70-1-00434;Libre;U$S;1612047;555,8783;529,1064;La operación comprende suelos y mejoras.;Los bienes se entregarán libre de ocupantes a cualquier título.;1) U$S 886626 se abonará al contado al momento de otorgarse la escritura definitiva de compraventa de los inmuebles de referencia, conjuntamente con una hipoteca que garantizará el saldo del precio afavor de la vendedora.2) U$S 362710,53 que se abonará a los 6 meses de otorgarse la escritura de compraventa definitiva de los inmuebles de referencia.3) U$S 362710,54 que se abonará a los 12 meses de otorgarse la escritura ;U$S 161204,707;Durazno-> Rural: 4182-5646 Treinta y Tres-> Rural: 5839-11014
Por Art. 5º;NO;24/03/2025;'COLONIA ITALIA; INM 19; FRACCIÓN 61A; 6TA SECC. CAT. DEL DPTO DE SAN JOSÉ.';Compraventa;Compraventa;;2025-70-1-00407;Libre;U$S;120000;7,3788;7,3788; La operación comprende suelos y mejoras;La entrega del bien se realizará libre de obligaciones, gravámenes y ocupantes a cualquier titulo el día del otorgamiento de la compraventa. Dicho contrato se firmara en un plazo de 45 días contado a partir de la fecha de la firma del Boleto de Reserva.;Se integrará totalmente al día del otorgamiento de la escritura de compraventa con documentos bancarios u otra modalidad de las previstas en la ley de inclusión financiera.;U$S 12000;San José-> Rural: 4955
Por Art. 35º;NO;21/03/2025;;Compraventa;Compraventa;;2025-70-1-00399;Ocupado;U$S;7177667;2050,762;2143,3306;La operación comprende suelos y mejoras.;Si bien actualmente los inmuebles se encuentran ocupados, los mismos se entregarán a más tardar el 30/06/2025, libre de ocupantes. ;Se abonarán simultáneamente con el otorgamiento de la escritura de compraventa y entrega de la posesión con plazo máximo el 30/06/25.;U$S 717.766;Paysandú-> Rural: 1121-5041
Por Art. 35º;NO;18/03/2025;;Compraventa;Compraventa;;2025-70-1-00374;Ocupado;U$S;2941937;576,8503;790,2849;Comprende suelos y mejoras;El inmueble se encuentra arrendado Ruralsur S.A desde el 26/03/21 hasta el 26/03/26.;Al contado.;U$S 294194;Durazno-> Rural: 701
Por Art. 35º;NO;14/03/2025;;Compraventa;Compraventa;;2025-70-1-00353;Ocupado;U$S;9980857;3326;2672;No se explicita.;Libre de ocupantes, en un plazo máximo de 150 días a contar desde el otorgamiento de compraventa definitiva.;Se pagara simultáneamente con el otorgamiento de la compraventa y entrega de la posesión de los inmuebles, que se realizará mediante letra de cambio por una institución de intermediación financiera de plaza.;U$S 998.085;Paysandú-> Rural: 9195-9193-8349-2826-5788-9194-8350-80
Por Art. 5º;NO;06/03/2025;Colonia Italia, inmueble n.º 19, fracción 91;Compraventa;Compraventa;;2025-70-1-00277;Libre;U$S;55000;3,239;5,733;Suelos y mejoras;Libre de ocupantes a cualquier título, en forma simultánea a la suscripción del compromiso de compraventa;- U$S 1.000 se pagara? en forma simultánea al otorgamiento del compromiso de compraventa- el saldo se pagará en 5 cuotas anuales, iguales y consecutivas de U$S 10.000 cada una, con vencimiento la primera de ellas al año del otorgamiento del compromiso y una cuota final de U$S compraventa;U$S 1.000;San José-> Rural: 19914
Por Art. 35º;NO;05/03/2025;;Compraventa;Compraventa;;2025-70-1-00273;Ocupado;U$S;1295000;203,801;323,4902;Suelos y mejoras;Arrendado hasta el 01/04/25 o hasta el levantamiento de la cosecha de cultivo de verano;En su totalidad al contado simultáneamente con el otorgamiento de la escritura de compraventa y entrega de la posesión jurídica de los bienes en el plazo de 90 días;U$S 129.500;Florida-> Rural: 10073-10071-10072
Por Art. 35º;NO;05/03/2025;;Compraventa;Compraventa;;2025-70-1-00276;Parcialmente ocupado;U$S;14700000;2940,4366;2548,1288;Suelos y mejoras.;Con fecha 04/05/25, libre de ocupantes a cualquier titulo , maquinaria, personas y cosas.;En un solo acto contra la firma de la compraventa y entrega de la posesión del inmueble.;U$S 1.470.000;Río Negro-> Rural: 3645-3646-6004-3862-4751-4014
Por Art. 35º;NO;28/02/2025;;Compraventa;Compraventa;;2025-70-1-00269;Parcialmente ocupado;U$S;7663931;2451,4776;2588,5455;Suelos y mejoras;260 ha del inmueble 3943 arrendadas;Del total U$S 7.663.931,85 : - U$S 7.454.545,10 corresponde a los padrones 373,3943,5948,7855 y 75% indiviso del 3945 (esto se abonará U$S 3.727.272,55 al contado al momento del otorgamiento de la escritura de compraventa y compromiso dentro de un plazo máximo de 60 días a contar del 19/02/25 Y U$S 3.727.272,55 al año de otorgada la compraventa);U$S 764.000;Artigas-> Rural: 3945-373-5948-3943-7855
Por Art. 35º;NO;28/02/2025;;Compraventa;Compraventa;;2025-70-1-00265;Libre;U$S;5266011;1620,311;1097,2673;Suelos y mejoras;Libre de ocupantes, simultáneamente con la firma de la escritura de compraventa.;Al contado y en una sola partida al momento de otorgarse la compraventa proyectada, simultáneamente con la entrega de los inmuebles;U$S 526.601;Treinta y Tres-> Rural: 10996-4874
Por Art. 35º;NO;24/02/2025;;Compraventa;Compraventa;;2025-70-1-00225;Parcialmente ocupado;U$S;3009600;627,051;597,6898;Suelos y mejoras;Conjuntamente con la firma de la escritura de compraventa, libre de ocupantes;Conjuntamente con el otorgamiento de la escritura de compraventa en un plazo máximo de 90 días a partir del 16/12/24;U$S 300.960;Durazno-> Rural: 10950-10949
Por Art. 35º;NO;24/02/2025;;Compraventa;Compraventa;;2025-70-1-00232;Libre;U$S;10000000;392,6511;282,1058;Suelos y mejoras;Simultáneamente a la suscripción de la escritura de compraventa y libre de ocupantes;Al contado, al suscribirse la escritura de compraventa proyectada dentro del plazo de 120 días a contar desde el otorgamiento del boleto de reserva (suscrito con fecha 28/11/24);U$S 1000000;Maldonado-> Rural: 25234-25233-20603
Por Art. 35º;NO;24/02/2025;;Compraventa;Compraventa;;2025-70-1-00241;Libre;U$S;1885107;227,12;378,44;Suelos y mejoras;Dentro de un plazo máximo de 90 días contados a partir del 06/02/25, libre de ocupantes, animales, semovientes, utiles, herramientas y otros bienes;Al contado y en una sola partida conjuntamente con el otorgamiento de la compraventa definitiva ;U$S 188.511;San José-> Rural: 2294-2204
